epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.539,1.93745,3.63323,1.33708,0.48256,0.18051,0.12805,0.06454,1.87265,2.86883,1.36377,0.000207225,0.000207225,0.000207225
2,888.069,1.87928,2.69965,1.33137,0.35626,0.25658,0.15367,0.07672,1.82378,2.66586,1.34068,0.000399102,0.000399102,0.000399102
3,1458.64,1.87464,2.52364,1.32539,0.38135,0.24647,0.18787,0.09623,1.81881,2.41645,1.3363,0.00057448,0.00057448,0.00057448
4,2015.14,1.83252,2.37924,1.32149,0.40823,0.27316,0.20286,0.10479,1.81047,2.38801,1.32491,0.00055075,0.00055075,0.00055075
5,2571.44,1.81477,2.25447,1.31416,0.44673,0.27472,0.23127,0.12568,1.77764,2.19877,1.29772,0.000526,0.000526,0.000526
6,3113.46,1.78275,2.14008,1.28661,0.52139,0.29364,0.24609,0.12778,1.75082,2.17795,1.28814,0.00050125,0.00050125,0.00050125
7,3681,1.75068,2.07915,1.2792,0.52328,0.27986,0.24117,0.12492,1.76451,2.10881,1.29204,0.0004765,0.0004765,0.0004765
8,4244.16,1.74438,2.00304,1.26751,0.48334,0.31502,0.27363,0.14142,1.74286,2.01948,1.29126,0.00045175,0.00045175,0.00045175
9,4796.87,1.73755,1.96895,1.26357,0.46393,0.29391,0.26957,0.13893,1.77945,2.05807,1.29502,0.000427,0.000427,0.000427
10,5280.56,1.7029,1.90578,1.24223,0.48643,0.29238,0.29931,0.15934,1.72661,1.95636,1.27566,0.00040225,0.00040225,0.00040225
11,5554.13,1.6871,1.83015,1.23453,0.49199,0.31919,0.31395,0.16661,1.71845,1.85988,1.27896,0.0003775,0.0003775,0.0003775
12,5832.97,1.6627,1.79224,1.22473,0.50555,0.36399,0.31693,0.16862,1.69396,1.87733,1.25601,0.00035275,0.00035275,0.00035275
13,6108.84,1.65861,1.72127,1.22722,0.39141,0.34218,0.30414,0.15721,1.68999,1.863,1.26487,0.000328,0.000328,0.000328
14,6416.83,1.63602,1.69314,1.20815,0.44084,0.36054,0.32039,0.16801,1.68491,1.8169,1.24785,0.00030325,0.00030325,0.00030325
15,6707.48,1.64015,1.68157,1.20683,0.47246,0.3185,0.33068,0.1775,1.71482,1.80853,1.26493,0.0002785,0.0002785,0.0002785
16,6986.43,1.58591,1.5733,1.19278,0.44622,0.38311,0.35018,0.18313,1.691,1.7713,1.24989,0.00025375,0.00025375,0.00025375
17,7240.75,1.58387,1.53836,1.18692,0.50687,0.3612,0.37096,0.20271,1.67354,1.72531,1.23575,0.000229,0.000229,0.000229
18,7494.53,1.57275,1.49134,1.17907,0.52371,0.33602,0.36416,0.19762,1.68733,1.7327,1.25307,0.00020425,0.00020425,0.00020425
19,7773.54,1.55117,1.4559,1.17449,0.51076,0.37752,0.3867,0.20927,1.66216,1.65634,1.23994,0.0001795,0.0001795,0.0001795
20,8043.43,1.53974,1.4165,1.16663,0.52497,0.34862,0.38126,0.20506,1.66941,1.67856,1.24089,0.00015475,0.00015475,0.00015475
21,8324.58,1.52081,1.3848,1.15056,0.52708,0.35556,0.38188,0.20441,1.66225,1.65948,1.23918,0.00013,0.00013,0.00013
22,8612.82,1.51791,1.36736,1.15059,0.5472,0.35999,0.40629,0.21424,1.68027,1.63047,1.2448,0.00010525,0.00010525,0.00010525
23,8907.5,1.51166,1.32318,1.14386,0.51364,0.40258,0.39633,0.21522,1.67314,1.62333,1.2386,8.05e-05,8.05e-05,8.05e-05
24,9230.14,1.49076,1.31281,1.13358,0.51648,0.38421,0.40271,0.21702,1.66543,1.60565,1.23708,5.575e-05,5.575e-05,5.575e-05
25,9515.07,1.48542,1.30815,1.13211,0.49936,0.40695,0.40136,0.21918,1.65882,1.59238,1.23031,3.1e-05,3.1e-05,3.1e-05
